City,Model,RMSE,MAE,Winner
Beijing,XGBoost,27.94494447793733,21.989864349365234,★
Beijing,LSTM,42.96222185249755,35.736898907858105,
Beijing,iTransformer,39.9494207635398,32.257033891061326,
Beijing,SARIMAX,174.4682452158937,142.8563096289424,
New Delhi,XGBoost,34.534155696370576,23.677287955689273,★
New Delhi,LSTM,45.64300339001774,31.732260353035397,
New Delhi,iTransformer,45.91805086163198,31.28333555795009,
New Delhi,SARIMAX,201.4036640498763,190.43219649594735,
Kathmandu,XGBoost,15.799401959466413,11.538775437630264,★
Kathmandu,LSTM,21.31338012171562,15.972041329660728,
Kathmandu,iTransformer,27.64180123174244,21.744488663352453,
Kathmandu,SARIMAX,87.66044518188716,70.23525414751438,
